Model Name: acacia_button | Name: Acacia Button | Opaque: No
Model Name: bedrock | Name: Bedrock | Opaque: Yes
Model Name: bee_nest | Name: Bee Nest | Opaque: Yes
Model Name: beehive | Name: Beehive | Opaque: Yes
Model Name: beetroots | Name: Beetroots | Opaque: No
Model Name: bell | Name: Bell | Opaque: Yes
Model Name: big_dripleaf | Name: Big Dripleaf | Opaque: Yes
Model Name: big_dripleaf_stem | Name: Big Dripleaf Stem | Opaque: No
Model Name: birch_button | Name: Birch Button | Opaque: No
Model Name: birch_door | Name: Birch Door | Opaque: No
Model Name: birch_fence | Name: Birch Fence | Opaque: Yes
Model Name: birch_fence_gate | Name: Birch Fence Gate | Opaque: Yes
Model Name: birch_hanging_sign | Name: Birch Hanging Sign | Opaque: No
Model Name: birch_leaves | Name: Birch Leaves | Opaque: No
Model Name: birch_log | Name: Birch Log | Opaque: Yes
Model Name: birch_planks | Name: Birch Planks | Opaque: Yes
Model Name: birch_pressure_plate | Name: Birch Pressure Plate | Opaque: No
Model Name: birch_sapling | Name: Birch Sapling | Opaque: No
Model Name: birch_shelf | Name: Birch Shelf | Opaque: Yes
Model Name: birch_sign | Name: Birch Sign | Opaque: No
Model Name: birch_slab | Name: Birch Slab | Opaque: Yes
Model Name: birch_stairs | Name: Birch Stairs | Opaque: Yes
Model Name: birch_trapdoor | Name: Birch Trapdoor | Opaque: No
Model Name: birch_wall_hanging_sign | Name: Birch Wall Hanging Sign | Opaque: No
Model Name: birch_wall_sign | Name: Birch Wall Sign | Opaque: No
Model Name: birch_wood | Name: Birch Wood | Opaque: Yes
Model Name: black_banner | Name: Black Banner | Opaque: No
Model Name: black_bed | Name: Black Bed | Opaque: No
Model Name: black_candle | Name: Black Candle | Opaque: No
Model Name: black_candle_cake | Name: Cake with Black Candle | Opaque: Yes
Model Name: black_carpet | Name: Black Carpet | Opaque: Yes
Model Name: black_concrete | Name: Black Concrete | Opaque: Yes
Model Name: black_concrete_powder | Name: Black Concrete Powder | Opaque: Yes
Model Name: black_glazed_terracotta | Name: Black Glazed Terracotta | Opaque: Yes
Model Name: black_shulker_box | Name: Black Shulker Box | Opaque: No
Model Name: black_stained_glass | Name: Black Stained Glass | Opaque: No
Model Name: black_stained_glass_pane | Name: Black Stained Glass Pane | Opaque: No
Model Name: black_terracotta | Name: Black Terracotta | Opaque: Yes
Model Name: black_wool | Name: Black Wool | Opaque: Yes
Model Name: blackstone | Name: Blackstone | Opaque: Yes
Model Name: blackstone_slab | Name: Blackstone Slab | Opaque: Yes
Model Name: blackstone_stairs | Name: Blackstone Stairs | Opaque: Yes
Model Name: blackstone_wall | Name: Blackstone Wall | Opaque: Yes
Model Name: blast_furnace | Name: Blast Furnace | Opaque: Yes
Model Name: blue_banner | Name: Blue Banner | Opaque: No
Model Name: blue_bed | Name: Blue Bed | Opaque: No
Model Name: blue_candle | Name: Blue Candle | Opaque: No
Model Name: blue_candle_cake | Name: Cake with Blue Candle | Opaque: Yes
Model Name: blue_carpet | Name: Blue Carpet | Opaque: Yes
Model Name: blue_concrete | Name: Blue Concrete | Opaque: Yes
Model Name: blue_concrete_powder | Name: Blue Concrete Powder | Opaque: Yes
Model Name: blue_glazed_terracotta | Name: Blue Glazed Terracotta | Opaque: Yes
Model Name: blue_ice | Name: Blue Ice | Opaque: Yes
Model Name: blue_orchid | Name: Blue Orchid | Opaque: No
Model Name: blue_shulker_box | Name: Blue Shulker Box | Opaque: No
Model Name: blue_stained_glass | Name: Blue Stained Glass | Opaque: No
Model Name: blue_stained_glass_pane | Name: Blue Stained Glass Pane | Opaque: No
Model Name: blue_terracotta | Name: Blue Terracotta | Opaque: Yes
Model Name: blue_wool | Name: Blue Wool | Opaque: Yes
Model Name: bone_block | Name: Bone Block | Opaque: Yes
Model Name: bookshelf | Name: Bookshelf | Opaque: Yes
Model Name: brain_coral | Name: Brain Coral | Opaque: No
Model Name: brain_coral_block | Name: Brain Coral Block | Opaque: Yes
Model Name: brain_coral_fan | Name: Brain Coral Fan | Opaque: No
Model Name: brain_coral_wall_fan | Name: Brain Coral Wall Fan | Opaque: No
Model Name: brewing_stand | Name: Brewing Stand | Opaque: No
Model Name: brick_slab | Name: Brick Slab | Opaque: Yes
Model Name: brick_stairs | Name: Brick Stairs | Opaque: Yes
Model Name: brick_wall | Name: Brick Wall | Opaque: Yes
Model Name: bricks | Name: Bricks | Opaque: Yes
Model Name: brown_banner | Name: Brown Banner | Opaque: No
Model Name: brown_bed | Name: Brown Bed | Opaque: No
Model Name: brown_candle | Name: Brown Candle | Opaque: No
Model Name: brown_candle_cake | Name: Cake with Brown Candle | Opaque: Yes
Model Name: brown_carpet | Name: Brown Carpet | Opaque: Yes
Model Name: brown_concrete | Name: Brown Concrete | Opaque: Yes
Model Name: brown_concrete_powder | Name: Brown Concrete Powder | Opaque: Yes
Model Name: brown_glazed_terracotta | Name: Brown Glazed Terracotta | Opaque: Yes
Model Name: brown_mushroom | Name: Brown Mushroom | Opaque: No
Model Name: brown_mushroom_block | Name: Brown Mushroom Block | Opaque: Yes
Model Name: brown_shulker_box | Name: Brown Shulker Box | Opaque: No
Model Name: brown_stained_glass | Name: Brown Stained Glass | Opaque: No
Model Name: brown_stained_glass_pane | Name: Brown Stained Glass Pane | Opaque: No
Model Name: brown_terracotta | Name: Brown Terracotta | Opaque: Yes
Model Name: brown_wool | Name: Brown Wool | Opaque: Yes
Model Name: bubble_column | Name: Bubble Column | Opaque: No
Model Name: bubble_coral | Name: Bubble Coral | Opaque: No
Model Name: bubble_coral_block | Name: Bubble Coral Block | Opaque: Yes
Model Name: bubble_coral_fan | Name: Bubble Coral Fan | Opaque: No
Model Name: bubble_coral_wall_fan | Name: Bubble Coral Wall Fan | Opaque: No
Model Name: budding_amethyst | Name: Budding Amethyst | Opaque: Yes
Model Name: bush | Name: Bush | Opaque: No
Model Name: cactus | Name: Cactus | Opaque: Yes
Model Name: cactus_flower | Name: Cactus Flower | Opaque: No
Model Name: cake | Name: Cake | Opaque: Yes
Model Name: calcite | Name: Calcite | Opaque: Yes
Model Name: calibrated_sculk_sensor | Name: Calibrated Sculk Sensor | Opaque: Yes
Model Name: campfire | Name: Campfire | Opaque: No
Model Name: candle | Name: Candle | Opaque: No
Model Name: candle_cake | Name: Cake with Candle | Opaque: Yes
Model Name: carrots | Name: Carrots | Opaque: No
Model Name: cartography_table | Name: Cartography Table | Opaque: Yes
Model Name: carved_pumpkin | Name: Carved Pumpkin | Opaque: Yes
Model Name: cauldron | Name: Cauldron | Opaque: No
Model Name: cave_air | Name: Cave Air | Opaque: No
Model Name: cave_vines | Name: Cave Vines | Opaque: No
Model Name: cave_vines_plant | Name: Cave Vines Plant | Opaque: No
Model Name: chain | Name: Chain | Opaque: Yes
Model Name: chain_command_block | Name: Chain Command Block | Opaque: Yes
Model Name: cherry_button | Name: Cherry Button | Opaque: No
Model Name: cherry_door | Name: Cherry Door | Opaque: No
Model Name: cherry_fence | Name: Cherry Fence | Opaque: Yes
Model Name: cherry_fence_gate | Name: Cherry Fence Gate | Opaque: Yes
Model Name: cherry_hanging_sign | Name: Cherry Hanging Sign | Opaque: No
Model Name: cherry_leaves | Name: Cherry Leaves | Opaque: No
Model Name: cherry_log | Name: Cherry Log | Opaque: Yes
Model Name: cherry_planks | Name: Cherry Planks | Opaque: Yes
Model Name: cherry_pressure_plate | Name: Cherry Pressure Plate | Opaque: No
Model Name: cherry_sapling | Name: Cherry Sapling | Opaque: No
Model Name: cherry_shelf | Name: Cherry Shelf | Opaque: Yes
Model Name: cherry_sign | Name: Cherry Sign | Opaque: No
Model Name: cherry_slab | Name: Cherry Slab | Opaque: Yes
Model Name: cherry_stairs | Name: Cherry Stairs | Opaque: Yes
Model Name: cherry_trapdoor | Name: Cherry Trapdoor | Opaque: No
Model Name: cherry_wall_hanging_sign | Name: Cherry Wall Hanging Sign | Opaque: No
Model Name: cherry_wall_sign | Name: Cherry Wall Sign | Opaque: No
Model Name: cherry_wood | Name: Cherry Wood | Opaque: Yes
Model Name: chest | Name: Chest | Opaque: Yes
Model Name: chipped_anvil | Name: Chipped Anvil | Opaque: Yes
Model Name: chiseled_bookshelf | Name: Chiseled Bookshelf | Opaque: Yes
Model Name: chiseled_copper | Name: Chiseled Copper | Opaque: Yes
Model Name: chiseled_deepslate | Name: Chiseled Deepslate | Opaque: Yes
Model Name: chiseled_nether_bricks | Name: Chiseled Nether Bricks | Opaque: Yes
Model Name: chiseled_polished_blackstone | Name: Chiseled Polished Blackstone | Opaque: Yes
Model Name: chiseled_quartz_block | Name: Chiseled Quartz Block | Opaque: Yes
Model Name: chiseled_red_sandstone | Name: Chiseled Red Sandstone | Opaque: Yes
Model Name: chiseled_resin_bricks | Name: Chiseled Resin Bricks | Opaque: Yes
Model Name: chiseled_sandstone | Name: Chiseled Sandstone | Opaque: Yes
Model Name: chiseled_stone_bricks | Name: Chiseled Stone Bricks | Opaque: Yes
Model Name: chiseled_tuff | Name: Chiseled Tuff | Opaque: Yes
Model Name: chiseled_tuff_bricks | Name: Chiseled Tuff Bricks | Opaque: Yes
Model Name: chorus_flower | Name: Chorus Flower | Opaque: No
Model Name: chorus_plant | Name: Chorus Plant | Opaque: No
Model Name: clay | Name: Clay | Opaque: Yes
Model Name: closed_eyeblossom | Name: Closed Eyeblossom | Opaque: No
Model Name: coal_block | Name: Block of Coal | Opaque: Yes
Model Name: coal_ore | Name: Coal Ore | Opaque: Yes
Model Name: coarse_dirt | Name: Coarse Dirt | Opaque: Yes
Model Name: cobbled_deepslate | Name: Cobbled Deepslate | Opaque: Yes
Model Name: cobbled_deepslate_slab | Name: Cobbled Deepslate Slab | Opaque: Yes
Model Name: cobbled_deepslate_stairs | Name: Cobbled Deepslate Stairs | Opaque: Yes
Model Name: cobbled_deepslate_wall | Name: Cobbled Deepslate Wall | Opaque: Yes
Model Name: cobblestone | Name: Cobblestone | Opaque: Yes
Model Name: cobblestone_slab | Name: Cobblestone Slab | Opaque: Yes
Model Name: cobblestone_stairs | Name: Cobblestone Stairs | Opaque: Yes
Model Name: cobblestone_wall | Name: Cobblestone Wall | Opaque: Yes
Model Name: cobweb | Name: Cobweb | Opaque: No
Model Name: cocoa | Name: Cocoa | Opaque: No
Model Name: command_block | Name: Command Block | Opaque: Yes
Model Name: comparator | Name: Redstone Comparator | Opaque: Yes
Model Name: composter | Name: Composter | Opaque: Yes
Model Name: conduit | Name: Conduit | Opaque: No
Model Name: copper_bars | Name: Copper Bars | Opaque: Yes
Model Name: copper_block | Name: Block of Copper | Opaque: Yes
Model Name: copper_bulb | Name: Copper Bulb | Opaque: Yes
Model Name: copper_chain | Name: Copper Chain | Opaque: Yes
Model Name: copper_chest | Name: Copper Chest | Opaque: Yes
Model Name: copper_door | Name: Copper Door | Opaque: No
Model Name: copper_golem_statue | Name: Copper Golem Statue | Opaque: No
Model Name: copper_grate | Name: Copper Grate | Opaque: No
Model Name: copper_lantern | Name: Copper Lantern | Opaque: Yes
Model Name: copper_ore | Name: Copper Ore | Opaque: Yes
Model Name: copper_torch | Name: Copper Torch | Opaque: No
Model Name: copper_trapdoor | Name: Copper Trapdoor | Opaque: No
Model Name: copper_wall_torch | Name: Copper Wall Torch | Opaque: No
Model Name: cornflower | Name: Cornflower | Opaque: No
Model Name: cracked_deepslate_bricks | Name: Cracked Deepslate Bricks | Opaque: Yes
Model Name: cracked_deepslate_tiles | Name: Cracked Deepslate Tiles | Opaque: Yes
Model Name: cracked_nether_bricks | Name: Cracked Nether Bricks | Opaque: Yes
Model Name: cracked_polished_blackstone_bricks | Name: Cracked Polished Blackstone Bricks | Opaque: Yes
Model Name: cracked_stone_bricks | Name: Cracked Stone Bricks | Opaque: Yes
Model Name: crafter | Name: Crafter | Opaque: Yes
Model Name: crafting_table | Name: Crafting Table | Opaque: Yes
Model Name: creaking_heart | Name: Creaking Heart | Opaque: Yes
Model Name: creeper_head | Name: Creeper Head | Opaque: No
Model Name: creeper_wall_head | Name: Creeper Wall Head | Opaque: Yes
Model Name: crimson_button | Name: Crimson Button | Opaque: No
Model Name: crimson_door | Name: Crimson Door | Opaque: No
Model Name: crimson_fence | Name: Crimson Fence | Opaque: Yes
Model Name: crimson_fence_gate | Name: Crimson Fence Gate | Opaque: Yes
Model Name: crimson_fungus | Name: Crimson Fungus | Opaque: No
Model Name: crimson_hanging_sign | Name: Crimson Hanging Sign | Opaque: No
Model Name: crimson_hyphae | Name: Crimson Hyphae | Opaque: Yes
Model Name: crimson_nylium | Name: Crimson Nylium | Opaque: Yes
Model Name: crimson_planks | Name: Crimson Planks | Opaque: Yes
Model Name: crimson_pressure_plate | Name: Crimson Pressure Plate | Opaque: No
Model Name: crimson_roots | Name: Crimson Roots | Opaque: No
Model Name: crimson_shelf | Name: Crimson Shelf | Opaque: Yes
Model Name: crimson_sign | Name: Crimson Sign | Opaque: No
Model Name: crimson_slab | Name: Crimson Slab | Opaque: Yes
Model Name: crimson_stairs | Name: Crimson Stairs | Opaque: Yes
Model Name: crimson_stem | Name: Crimson Stem | Opaque: Yes
Model Name: crimson_trapdoor | Name: Crimson Trapdoor | Opaque: No
Model Name: crimson_wall_hanging_sign | Name: Crimson Wall Hanging Sign | Opaque: No
Model Name: crimson_wall_sign | Name: Crimson Wall Sign | Opaque: No
Model Name: crying_obsidian | Name: Crying Obsidian | Opaque: Yes
Model Name: cut_copper | Name: Cut Copper | Opaque: Yes
Model Name: cut_copper_slab | Name: Cut Copper Slab | Opaque: Yes
Model Name: cut_copper_stairs | Name: Cut Copper Stairs | Opaque: Yes
Model Name: cut_red_sandstone | Name: Cut Red Sandstone | Opaque: Yes
Model Name: cut_red_sandstone_slab | Name: Cut Red Sandstone Slab | Opaque: Yes
Model Name: cut_sandstone | Name: Cut Sandstone | Opaque: Yes
Model Name: cut_sandstone_slab | Name: Cut Sandstone Slab | Opaque: Yes
Model Name: cyan_banner | Name: Cyan Banner | Opaque: No
Model Name: cyan_bed | Name: Cyan Bed | Opaque: No
Model Name: cyan_candle | Name: Cyan Candle | Opaque: No
Model Name: cyan_candle_cake | Name: Cake with Cyan Candle | Opaque: Yes
Model Name: cyan_carpet | Name: Cyan Carpet | Opaque: Yes
Model Name: cyan_concrete | Name: Cyan Concrete | Opaque: Yes
Model Name: cyan_concrete_powder | Name: Cyan Concrete Powder | Opaque: Yes
Model Name: cyan_glazed_terracotta | Name: Cyan Glazed Terracotta | Opaque: Yes
Model Name: cyan_shulker_box | Name: Cyan Shulker Box | Opaque: No
Model Name: cyan_stained_glass | Name: Cyan Stained Glass | Opaque: No
Model Name: cyan_stained_glass_pane | Name: Cyan Stained Glass Pane | Opaque: No
Model Name: cyan_terracotta | Name: Cyan Terracotta | Opaque: Yes
Model Name: cyan_wool | Name: Cyan Wool | Opaque: Yes
Model Name: damaged_anvil | Name: Damaged Anvil | Opaque: Yes
Model Name: dandelion | Name: Dandelion | Opaque: No
Model Name: dark_oak_button | Name: Dark Oak Button | Opaque: No
Model Name: dark_oak_door | Name: Dark Oak Door | Opaque: No
Model Name: dark_oak_fence | Name: Dark Oak Fence | Opaque: Yes
Model Name: dark_oak_fence_gate | Name: Dark Oak Fence Gate | Opaque: Yes
Model Name: dark_oak_hanging_sign | Name: Dark Oak Hanging Sign | Opaque: No
Model Name: dark_oak_leaves | Name: Dark Oak Leaves | Opaque: No
Model Name: dark_oak_log | Name: Dark Oak Log | Opaque: Yes
Model Name: dark_oak_planks | Name: Dark Oak Planks | Opaque: Yes
Model Name: dark_oak_pressure_plate | Name: Dark Oak Pressure Plate | Opaque: No
Model Name: dark_oak_sapling | Name: Dark Oak Sapling | Opaque: No
Model Name: dark_oak_shelf | Name: Dark Oak Shelf | Opaque: Yes
Model Name: dark_oak_sign | Name: Dark Oak Sign | Opaque: No
Model Name: dark_oak_slab | Name: Dark Oak Slab | Opaque: Yes
Model Name: dark_oak_stairs | Name: Dark Oak Stairs | Opaque: Yes
Model Name: dark_oak_trapdoor | Name: Dark Oak Trapdoor | Opaque: No
Model Name: dark_oak_wall_hanging_sign | Name: Dark Oak Wall Hanging Sign | Opaque: No
Model Name: dark_oak_wall_sign | Name: Dark Oak Wall Sign | Opaque: No
Model Name: dark_oak_wood | Name: Dark Oak Wood | Opaque: Yes
Model Name: dark_prismarine | Name: Dark Prismarine | Opaque: Yes
Model Name: dark_prismarine_slab | Name: Dark Prismarine Slab | Opaque: Yes
Model Name: dark_prismarine_stairs | Name: Dark Prismarine Stairs | Opaque: Yes
Model Name: daylight_detector | Name: Daylight Detector | Opaque: Yes
Model Name: dead_brain_coral | Name: Dead Brain Coral | Opaque: No
Model Name: dead_brain_coral_block | Name: Dead Brain Coral Block | Opaque: Yes
Model Name: dead_brain_coral_fan | Name: Dead Brain Coral Fan | Opaque: No
Model Name: dead_brain_coral_wall_fan | Name: Dead Brain Coral Wall Fan | Opaque: No
Model Name: dead_bubble_coral | Name: Dead Bubble Coral | Opaque: No
Model Name: dead_bubble_coral_block | Name: Dead Bubble Coral Block | Opaque: Yes
Model Name: dead_bubble_coral_fan | Name: Dead Bubble Coral Fan | Opaque: No
Model Name: dead_bubble_coral_wall_fan | Name: Dead Bubble Coral Wall Fan | Opaque: No
Model Name: dead_bush | Name: Dead Bush | Opaque: No
Model Name: dead_fire_coral | Name: Dead Fire Coral | Opaque: No
Model Name: dead_fire_coral_block | Name: Dead Fire Coral Block | Opaque: Yes
Model Name: dead_fire_coral_fan | Name: Dead Fire Coral Fan | Opaque: No
Model Name: dead_fire_coral_wall_fan | Name: Dead Fire Coral Wall Fan | Opaque: No
Model Name: dead_horn_coral | Name: Dead Horn Coral | Opaque: No
Model Name: dead_horn_coral_block | Name: Dead Horn Coral Block | Opaque: Yes
Model Name: dead_horn_coral_fan | Name: Dead Horn Coral Fan | Opaque: No
Model Name: dead_horn_coral_wall_fan | Name: Dead Horn Coral Wall Fan | Opaque: No
Model Name: dead_tube_coral | Name: Dead Tube Coral | Opaque: No
Model Name: dead_tube_coral_block | Name: Dead Tube Coral Block | Opaque: Yes
Model Name: dead_tube_coral_fan | Name: Dead Tube Coral Fan | Opaque: No
Model Name: dead_tube_coral_wall_fan | Name: Dead Tube Coral Wall Fan | Opaque: No
Model Name: decorated_pot | Name: Decorated Pot | Opaque: No
Model Name: deepslate | Name: Deepslate | Opaque: Yes
Model Name: deepslate_brick_slab | Name: Deepslate Brick Slab | Opaque: Yes
Model Name: deepslate_brick_stairs | Name: Deepslate Brick Stairs | Opaque: Yes
Model Name: deepslate_brick_wall | Name: Deepslate Brick Wall | Opaque: Yes
Model Name: deepslate_bricks | Name: Deepslate Bricks | Opaque: Yes
Model Name: deepslate_coal_ore | Name: Deepslate Coal Ore | Opaque: Yes
Model Name: deepslate_copper_ore | Name: Deepslate Copper Ore | Opaque: Yes
Model Name: deepslate_diamond_ore | Name: Deepslate Diamond Ore | Opaque: Yes
Model Name: deepslate_emerald_ore | Name: Deepslate Emerald Ore | Opaque: Yes
Model Name: deepslate_gold_ore | Name: Deepslate Gold Ore | Opaque: Yes
Model Name: deepslate_iron_ore | Name: Deepslate Iron Ore | Opaque: Yes
Model Name: deepslate_lapis_ore | Name: Deepslate Lapis Lazuli Ore | Opaque: Yes
Model Name: deepslate_redstone_ore | Name: Deepslate Redstone Ore | Opaque: Yes
Model Name: deepslate_tile_slab | Name: Deepslate Tile Slab | Opaque: Yes
Model Name: deepslate_tile_stairs | Name: Deepslate Tile Stairs | Opaque: Yes
Model Name: deepslate_tile_wall | Name: Deepslate Tile Wall | Opaque: Yes
Model Name: deepslate_tiles | Name: Deepslate Tiles | Opaque: Yes
Model Name: detector_rail | Name: Detector Rail | Opaque: No
Model Name: diamond_block | Name: Block of Diamond | Opaque: Yes
Model Name: diamond_ore | Name: Diamond Ore | Opaque: Yes
Model Name: diorite | Name: Diorite | Opaque: Yes
Model Name: diorite_slab | Name: Diorite Slab | Opaque: Yes
Model Name: diorite_stairs | Name: Diorite Stairs | Opaque: Yes
Model Name: diorite_wall | Name: Diorite Wall | Opaque: Yes
Model Name: dirt | Name: Dirt | Opaque: Yes
Model Name: dirt_path | Name: Dirt Path | Opaque: Yes
Model Name: dispenser | Name: Dispenser | Opaque: Yes
Model Name: dragon_egg | Name: Dragon Egg | Opaque: No
Model Name: dragon_head | Name: Dragon Head | Opaque: No
Model Name: dragon_wall_head | Name: Dragon Wall Head | Opaque: Yes
Model Name: dried_ghast | Name: Dried Ghast | Opaque: No
Model Name: dried_kelp_block | Name: Dried Kelp Block | Opaque: Yes
Model Name: dripstone_block | Name: Dripstone Block | Opaque: Yes
Model Name: dropper | Name: Dropper | Opaque: Yes
Model Name: emerald_block | Name: Block of Emerald | Opaque: Yes
Model Name: emerald_ore | Name: Emerald Ore | Opaque: Yes
Model Name: enchanting_table | Name: Enchanting Table | Opaque: Yes
Model Name: end_gateway | Name: End Gateway | Opaque: No
Model Name: end_portal | Name: End Portal | Opaque: No
Model Name: end_portal_frame | Name: End Portal Frame | Opaque: Yes
Model Name: end_rod | Name: End Rod | Opaque: No
Model Name: end_stone | Name: End Stone | Opaque: Yes
Model Name: end_stone_brick_slab | Name: End Stone Brick Slab | Opaque: Yes
Model Name: end_stone_brick_stairs | Name: End Stone Brick Stairs | Opaque: Yes
Model Name: end_stone_brick_wall | Name: End Stone Brick Wall | Opaque: Yes
Model Name: end_stone_bricks | Name: End Stone Bricks | Opaque: Yes
Model Name: ender_chest | Name: Ender Chest | Opaque: Yes
Model Name: exposed_chiseled_copper | Name: Exposed Chiseled Copper | Opaque: Yes
Model Name: exposed_copper | Name: Exposed Copper | Opaque: Yes
Model Name: exposed_copper_bars | Name: Exposed Copper Bars | Opaque: Yes
Model Name: exposed_copper_bulb | Name: Exposed Copper Bulb | Opaque: Yes
Model Name: exposed_copper_chain | Name: Exposed Copper Chain | Opaque: Yes
Model Name: exposed_copper_chest | Name: Exposed Copper Chest | Opaque: Yes
Model Name: exposed_copper_door | Name: Exposed Copper Door | Opaque: No
Model Name: exposed_copper_golem_statue | Name: Exposed Copper Golem Statue | Opaque: No
Model Name: exposed_copper_grate | Name: Exposed Copper Grate | Opaque: No
Model Name: exposed_copper_lantern | Name: Exposed Copper Lantern | Opaque: Yes
Model Name: exposed_copper_trapdoor | Name: Exposed Copper Trapdoor | Opaque: No
Model Name: exposed_cut_copper | Name: Exposed Cut Copper | Opaque: Yes
Model Name: exposed_cut_copper_slab | Name: Exposed Cut Copper Slab | Opaque: Yes
Model Name: exposed_cut_copper_stairs | Name: Exposed Cut Copper Stairs | Opaque: Yes
Model Name: exposed_lightning_rod | Name: Exposed Lightning Rod | Opaque: No
Model Name: farmland | Name: Farmland | Opaque: Yes
Model Name: fern | Name: Fern | Opaque: No
Model Name: fire | Name: Fire | Opaque: No
Model Name: fire_coral | Name: Fire Coral | Opaque: No
Model Name: fire_coral_block | Name: Fire Coral Block | Opaque: Yes
Model Name: fire_coral_fan | Name: Fire Coral Fan | Opaque: No
Model Name: fire_coral_wall_fan | Name: Fire Coral Wall Fan | Opaque: No
Model Name: firefly_bush | Name: Firefly Bush | Opaque: No
Model Name: fletching_table | Name: Fletching Table | Opaque: Yes
Model Name: flower_pot | Name: Flower Pot | Opaque: No
Model Name: flowering_azalea | Name: Flowering Azalea | Opaque: No
Model Name: flowering_azalea_leaves | Name: Flowering Azalea Leaves | Opaque: No
Model Name: frogspawn | Name: Frogspawn | Opaque: No
Model Name: frosted_ice | Name: Frosted Ice | Opaque: No
Model Name: furnace | Name: Furnace | Opaque: Yes
Model Name: gilded_blackstone | Name: Gilded Blackstone | Opaque: Yes
Model Name: glass | Name: Glass | Opaque: No
Model Name: glass_pane | Name: Glass Pane | Opaque: No
Model Name: glow_lichen | Name: Glow Lichen | Opaque: No
Model Name: glowstone | Name: Glowstone | Opaque: Yes
Model Name: gold_block | Name: Block of Gold | Opaque: Yes
Model Name: gold_ore | Name: Gold Ore | Opaque: Yes
